,"Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2020,Percent share 2023
Battery,-28,-369,-115,-55,-13,-28,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0
Coal,"40,931,630","51,384,115","54,447,943","47,772,885","60,761,806","77,455,229","72,384,957","72,533,080","78,230,688","97,548,739","92,671,942","92,461,192","104,152,598","112,327,658","108,311,698","122,036,086","122,802,897","123,645,467","122,833,478","120,670,932","117,756,284","117,659,700","116,066,512","121,477,885","115,209,204","111,818,094","110,051,662","105,449,024","104,688,066","102,921,426","99,676,953","96,616,880","97,457,226","96,925,553",95.0,89.7,53.0,45.5
Hydroelectric,"463,654","370,827","387,030","270,739","255,983","222,661","306,080","426,265","381,236","371,153","386,928","433,505","408,779","453,712","503,470","436,780","449,936","489,515","438,282","443,721","423,953","411,270","570,692","588,276","406,974","478,668","561,593","448,364","467,261","406,867","448,400","562,476","399,051","441,021",0.5,0.4,0.3,0.5
Natural gas,"34,849,282","32,120,898","27,599,551","32,084,576","32,041,895","26,816,995","17,975,917","19,995,659","16,262,987","9,572,346","9,032,236","14,470,905","10,063,968","6,474,986","3,829,658","3,636,303","4,011,824","2,681,883","3,615,305","2,438,226","3,049,435","3,782,451","2,331,667","2,054,616","2,109,120","2,077,153","1,233,102","1,246,175","1,453,563","1,509,171","974,598","1,184,257","1,454,748","1,470,837",1.6,5.2,35.6,38.7
..Natural gas - CC,"27,083,198","26,251,760","21,836,157","26,812,492","27,524,580","21,886,770","14,149,288","16,220,620","14,414,363","8,464,224","7,735,901","12,914,506","8,778,226","5,153,652","2,971,912","2,670,938",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.1,29.8,30.1
..Natural gas - GT,"3,475,622","3,202,083","2,922,295","2,174,447","1,908,214","2,584,060","1,868,574","1,432,254","965,770","386,645","599,529","884,720","578,481","571,589","198,860","305,578",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,2.4,3.9
..Natural gas - IC,"46,872","38,460","30,619","42,343","56,442","50,549","46,216","47,554","41,745","42,250","40,629","35,319","19,065","5,894","1,151","1,060",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0,0.1
..Natural gas - ST,"4,243,590","2,628,595","2,810,480","3,055,295","2,552,659","2,295,617","1,911,838","2,295,232","841,108","679,228","656,178","636,360","688,196","743,852","657,735","658,727",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,3.4,4.7
Other,"481,609","467,694","489,475","497,607","333,486","320,666","306,076","363,050","420,071","390,684","442,464","346,570","369,053","380,021","342,796","355,684","380,711","434,976","434,444","518,574","491,864","15,642","15,938",.,"23,876",.,.,.,.,.,.,.,.,.,.,0.3,0.6,0.5
Other biomass,"254,012","385,915","428,995","447,504","462,739","459,889","473,403","432,790","446,408","390,539","376,303","336,092","335,588","311,623","302,644","273,038","231,247","220,212","67,692","137,370","119,138","115,946","114,579","129,883","125,977","124,111","124,056","104,145","84,340","36,993","32,454","33,471","33,114","37,117",0.1,0.2,0.5,0.3
Other gas,"2,271,502","2,144,536","2,254,362","2,239,949","1,984,109","2,325,813","1,990,999","2,272,492","2,268,638","2,161,219","2,409,662","2,491,425","2,183,387","2,144,140","1,820,065","2,355,804","2,591,406","2,870,099","2,721,577","3,136,317","2,592,257","3,005,998","2,477,333","2,599,216","2,968,720","1,896,396","1,995,347","2,053,362","2,120,995","1,941,518","2,130,458","2,133,416","2,107,806","1,674,549",2.0,1.7,2.5,2.5
Petroleum,"96,718","113,805","127,812","113,473","126,745","130,617","125,323","610,407","1,338,003","1,362,544","1,572,309","945,765","1,332,630","154,555","156,757","178,244","169,977","147,635","260,794","425,257","455,287","617,132","491,482","969,642","920,626","1,077,102","763,147","601,030","342,621","366,082","372,276","488,064","529,352","868,038",0.8,0.1,0.1,0.1
..Petroleum - GT,"7,657","14,196","7,762","1,825","2,750","2,451","3,795","2,527","2,390","10,504","3,003","2,164","1,024","1,356",489,"1,205",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0,0.0
..Petroleum - IC,"1,023","1,146","2,150","1,978","1,184","1,650","1,253","1,521","1,485","2,225","1,628","2,754","8,115","1,664","1,671","1,197",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0,0.0
..Petroleum - OTH,.,.,.,.,.,.,.,"496,939","1,179,122","1,198,937","1,433,291","831,344","1,160,988",.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Petroleum - ST,"88,038","98,462","117,900","109,671","122,812","126,515","120,275","109,420","155,006","150,878","134,387","109,503","162,502","151,536","154,598","175,842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1
Solar,"1,854,023","1,082,280","572,757","358,753","322,601","290,717","277,675","225,841","156,098","102,127","30,540",171,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,2.1
..Solar- PV,"1,854,023","1,082,280","572,757","358,753","322,601","290,717","277,675","225,841","156,098","102,127","30,540",171,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,2.1
Wind,"8,844,478","9,985,205","7,856,985","6,287,548","6,216,030","5,437,153","5,089,390","4,899,474","4,515,147","3,496,042","3,481,093","3,210,104","3,285,411","2,934,043","1,403,192","238,356",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.3,7.0,9.8
..Wind - Onshore,"8,844,478","9,985,205","7,856,985","6,287,548","6,216,030","5,437,153","5,089,390",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.0,9.8
Wood,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0
"Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Note: Totals may not equal sum of components because of independent rounding.
Source: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
